 REGION , DISTRICT , Somme de POPULATION2 , (F) Nombre Commune exposées , (F)  Nombres Fokontany Exposé , (F)  Population exposée , (F)  Population affectées , (F)  HEA (Group socio Très pauvre - Sinistrées) , (F) Déplacées en site , (F) Déplacées en site préventivement , (M)  Nombre Commune exposées , (M)  Nombres Fokontany Exposé , (M)  Population exposée , (M)  Population affectées , (M)  HEA (Group socio Très pauvre - Sinistrées) , (M) Déplacées en site , (M) Déplacées en site préventivement , (E)  Nombre Commune exposées , (E) Nombres Fokontany Exposé , (E) Population exposée , (E) Population affectées , (E) HEA (Group socio Très pauvre - Sinistrées) , (E) Déplacées en site , (E) Déplacées en site préventivement , FAIBLE ,Système,Nom,Année,Vitesse de vent,Précipitation,Population 5-17 ans scolarisable ,% Hommes,% Femmes,Enfant moins de 5 ans,Prévalence (en %) du handicap,Femmes enceintes et allaitantes (Enfant - 2 ans et TBN),Personnes agées plus de 60 ans,Somme de  Cases d'habitations détruites,Somme de  Cases d'habitations inondées,Somme de  Cases d'habitations endommagées/ Décoiffées ,Elèves privés de cours à cause de l'évènement,Salle de classe totalement détruites,Salle de classe endommagées,Salle de classe décoiffées,CSB1/ CSB2 totalement détruites,CSB1/ CSB2 endommagées ou partiellement détruites,CSB1/ CSB2 décoiffées,Agriculture,Elevage,Pêche,Ménages Agricoles, MODERE ,Système,Nom,Année,Vitesse de vent,Précipitation,Population 5-17 ans scolarisable ,% Hommes,% Femmes,Enfant moins de 5 ans,Prévalence (en %) du handicap,Femmes enceintes et allaitantes (Enfant - 2 ans et TBN),Personnes agées plus de 60 ans,Somme de  Cases d'habitations détruites,Somme de  Cases d'habitations inondées,Somme de  Cases d'habitations endommagées/ Décoiffées ,Elèves privés de cours à cause de l'évènement,Salle de classe totalement détruites,Salle de classe endommagées,Salle de classe décoiffées,CSB1/ CSB2 totalement détruites,CSB1/ CSB2 endommagées ou partiellement détruites,CSB1/ CSB2 décoiffées,Agriculture,Elevage,Pêche,Ménages Agricoles, FORT ,Système,Nom,Année,Vitesse de vent,Précipitation,Population 5-17 ans scolarisable ,% Hommes,% Femmes,Enfant moins de 5 ans,Prévalence (en %) du handicap,Femmes enceintes et allaitantes (Enfant - 2 ans et TBN),Personnes agées plus de 60 ans,Somme de  Cases d'habitations détruites,Somme de  Cases d'habitations inondées,Somme de  Cases d'habitations endommagées/ Décoiffées ,Elèves privés de cours à cause de l'évènement,Salle de classe totalement détruites,Salle de classe endommagées,Salle de classe décoiffées,CSB1/ CSB2 totalement détruites,CSB1/ CSB2 endommagées ou partiellement détruites,CSB1/ CSB2 décoiffées,Agriculture,Elevage,Pêche,Ménages Agricoles
, MIANDRIVAZO ,"173,187",8,34,"56,949","9,172","2,919",404,81,9,50,"68,162","15,172","4,829",668,134,9,66,"92,058","26,853","8,056","1,115",223, F , FTT , CHEDZA , 2014-2015 , 89 à 117 km/h ,,"3,274","1,448","1,471",412,175,220,102,322,168,173,"3,274",11,8,7,4,3,3, -   , -   , -   , -   , M , ZCIT , ZCIT 2 , 2014-2015 ,,,"5,416","2,395","2,434",681,290,363,169,533,278,286,"5,416",13,10,10,5,4,4,, -   , -   , -   , F , CT , AVA , 2017-2018 , 118 à 165 km/h ,,"9,587","3,996","4,060","1,136",483,606,282,889,464,477,"9,587",15,14,15,6,6,6,,,,
, MORONDAVA ,"168,105",4,16,"55,553","11,447","3,643","1,408",282,6,36,"78,640","23,513","7,484","2,892",578,6,55,"109,885","45,503","13,651","5,274","1,055", F , FTT , FTT  CHENESO du 17 Janvier 2023 , 2022-2023 , 51 à 62 km/h ,,"4,086","1,807","1,836",514,219,274,128,421,220,226,"4,086",6,5,4,4,3,3, -   , -   , -   , -   , M , FTT , CHEDZA , 2014-2015 , 89 à 117 km/h ,,"8,394","3,712","3,772","1,055",449,563,262,865,452,465,"8,394",7,6,6,5,4,4,, -   , -   , -   , F , ZCIT , Forte pluie du 23 Février 2020 , 2019-2020 ,,,"16,245","6,771","6,880","1,925",819,"1,027",478,"1,578",824,848,"16,245",9,8,8,6,5,6,,,,
 Total MENABE ,5,"773,298",33,158,"265,035","45,328","14,428","3,989",798,36,197,"305,345","78,654","25,036","6,922","1,384",37,258,"390,128","142,571","42,771","11,825","2,365", F , FTT , CHEDZA , 2014-2015 , 89 à 117 km/h , -   ,"16,182","7,156","7,272","2,034",866,"1,085",505,"1,651",862,886,"16,182",42,32,28,19,14,12,"37,895","33,407","10,290","41,612", M , FTT , FTT  CHENESO du 17 Janvier 2023 , 2022-2023 , 89 à 117 km/h ,,"28,080","12,418","12,618","3,530","1,502","1,883",876,"2,865","1,496","1,539","28,080",50,39,40,22,17,18, -   , -   , -   , -   , F , ZCIT , Forte pluie du 23 Février 2020 , 2019-2020 ,,,"50,898","21,215","21,557","6,031","2,566","3,217","1,497","4,893","2,556","2,628","50,898",60,56,58,26,25,26,"119,189","105,075","32,364","130,880"
 SAVA , ANDAPA ,"244,750",14,67,"124,200","23,214","7,389","3,465",693,19,91,"147,486","52,264","16,636","7,801","1,560",19,135,"219,118","139,370","41,811","19,607","3,921", F , FTT , FTT  CHENESO du 17 Janvier 2023 , 2022-2023 , 89 à 117 km/h ,,"7,614","3,650","3,739",924,665,718,362,809,769,419,"7,614",14,12,3,3,3,1, -   , -   , -   , -   , M , ZCIT , ZCIT 2 (30 Décembre au 04 Janvier) , 2019-2020 ,,,"17,143","8,218","8,418","2,079","1,497","1,617",815,"1,822","1,731",943,"17,143",48,32,16,10,7,3,, -   , -   , -   , F , CT , ENAWO , 2016-2017 , 166 à 212 km/h ,,"45,713","20,655","21,156","5,226","3,763","4,063","2,049","4,578","4,352","2,370","45,713",79,66,22,17,14,5,,,,
, ANTALAHA ,"303,381",15,131,"256,037","63,150","20,101","9,042","1,808",16,145,"261,176","98,878","31,473","14,158","2,832",16,170,"284,915","183,682","55,105","24,788","4,958", F , FTT , FTT ELOISE (17 au 23 Janv 21) , 2020-2021 , 89 à 117 km/h ,,"20,713","9,930","10,171","2,513","1,809","1,953",985,"2,201","2,092","1,140","20,713",48,42,10,3,3,1, -   , -   , -   , -   , M , FTT , ELIAKIM , 2017-2018 , 89 à 117 km/h ,,"32,432","15,548","15,925","3,934","2,833","3,058","1,542","3,446","3,276","1,784","32,432",165,108,56,12,8,4,, -   , -   , -   , F , CT , ENAWO , 2016-2017 , 166 à 212 km/h ,,"60,248","27,222","27,883","6,888","4,959","5,355","2,700","6,034","5,735","3,124","60,248",269,226,74,19,16,5,,,,
, SAMBAVA ,"455,838",19,84,"180,682","36,224","11,530","5,073","1,015",27,188,"294,875","119,121","37,916","16,683","3,337",28,272,"391,173","249,619","74,886","32,950","6,590", F , FTT , FTT  CHENESO du 17 Janvier 2023 , 2022-2023 , 89 à 117 km/h ,,"11,881","5,696","5,834","1,441","1,038","1,120",565,"1,335","1,269",691,"11,881",34,30,7,4,4,1, -   , -   , -   , -   , M , FTT , ELIAKIM , 2017-2018 , 89 à 117 km/h ,,"39,072","18,731","19,186","4,740","3,412","3,684","1,858","4,389","4,172","2,272","39,072",115,76,39,15,10,5,, -   , -   , -   , F , CT , ENAWO , 2016-2017 , 166 à 212 km/h ,,"81,875","36,993","37,892","9,361","6,740","7,277","3,669","8,668","8,240","4,488","81,875",189,158,52,24,20,7,,,,
, VOHEMAR ,"283,500",7,22,"61,707","14,505","4,617","2,078",416,18,98,"181,183","63,455","20,198","9,089","1,818",18,142,"262,912","163,898","49,169","22,126","4,425", F , FTT , ELIAKIM , 2017-2018 , 89 à 117 km/h ,,"4,757","2,281","2,336",577,416,449,226,506,481,262,"4,757",24,22,5,4,3,1, -   , -   , -   , -   , M , FTT , FTT  CHENESO du 17 Janvier 2023 , 2022-2023 , 89 à 117 km/h ,,"20,813","9,978","10,220","2,525","1,818","1,963",990,"2,212","2,102","1,145","20,813",84,55,29,12,8,4,, -   , -   , -   , F , CT , ENAWO , 2016-2017 , 166 à 212 km/h ,,"53,758","24,290","24,880","6,146","4,425","4,778","2,409","5,384","5,118","2,788","53,758",137,115,38,20,17,6,,,,
 Total SAVA ,4,"1,287,469",55,304,"622,626","137,093","43,637","19,665","3,933",80,521,"884,720","333,719","106,223","47,869","9,574",81,718,"1,158,119","736,569","220,971","99,579","19,916", F , ZCIT , ZCIT 2 (30 Décembre au 04 Janvier) , 2019-2020 ,, -   ,"44,966","21,556","22,080","5,455","3,927","4,240","2,138","4,850","4,610","2,511","44,966",120,106,26,14,13,3,"115,569","96,239","25,636","119,271", M , FTT , ELIAKIM , 2017-2018 , 89 à 317 km/h ,,"109,460","52,474","53,749","13,278","9,560","10,322","5,205","11,868","11,281","6,145","109,460",412,271,140,49,32,17, -   , -   , -   , -   , F , CT , ENAWO , 2016-2017 , 166 à 212 km/h ,,"241,594","109,159","111,811","27,621","19,887","21,473","10,828","24,664","23,444","12,770","241,594",674,566,186,80,67,22,"620,927","517,071","137,738","640,815"
 SOFIA , ANALALAVA ,"157,966",1,1,"5,718",321,102,8,2,3,7,"11,252",751,239,20,4,5,21,"28,002","5,679","1,704",141,28, F , ZCIT , ZCIT/Forte pluie du 17 Janvier 2022/TTM ANA , 2021-2022 ,,,115,50,52,15,6,10,4,9,3,15,115,1,1,1,2,2,3, -   , -   , -   , -   , M , FTT , ELIAKIM , 2017-2018 , 89 à 117 km/h ,,268,118,121,34,14,23,10,20,8,35,268,1,1,2,3,4,5,, -   , -   , -   , F , CT , ENAWO , 2016-2017 , 116 à 212 km/h ,,"2,027",840,864,245,102,163,72,144,57,247,"2,027",2,2,3,7,7,10,,,,
, ANTSOHIHY ,"200,979",3,11,"57,182","7,983","2,541",633,127,7,26,"72,223","10,170","3,237",806,161,13,60,"113,796","29,128","8,738","2,177",435, F , CT , ENAWO , 2016-2017 , 63 à 88 km/h ,,"2,850","1,253","1,288",366,152,243,107,199,79,342,"2,850",2,2,3,2,2,3, -   , -   , -   , -   , M , ZCIT , ZCIT/Forte pluie du 17 Janvier 2022/TTM ANA , 2021-2022 ,,,"3,631","1,596","1,641",466,194,310,136,254,100,435,"3,631",3,4,5,3,4,4,, -   , -   , -   , F , FTT , CHEDZA , 2014-2015 , 89 à 117 km/h ,,"10,399","4,308","4,430","1,258",524,835,367,685,271,"1,175","10,399",8,7,11,7,6,9,,,,
, BEALANANA ,"215,216",2,2,"14,676","1,145",364,51,10,3,7,"23,412","3,949","1,257",177,35,8,26,"42,050","9,678","2,903",410,82, F , TTM , TTM GOMBE (07 au 09 Mars 2022) , 2021-2022 , 51 à 62 km/h ,,409,180,185,52,22,35,15,29,11,49,409,1,1,1,2,2,3, -   , -   , -   , -   , M , CT , ENAWO , 2016-2017 , 63 à 88 km/h ,,"1,410",620,637,181,75,120,53,99,39,169,"1,410",1,2,2,3,4,5,, -   , -   , -   , F , FTT , CHEDZA , 2014-2015 , 89 à 117 km/h ,,"3,455","1,431","1,472",418,174,278,122,228,90,390,"3,455",3,3,4,7,7,10,,,,
, BEFANDRIANA NORD ,"294,533",1,3,"9,862",553,176,15,3,2,4,"12,661","1,113",354,29,6,4,16,"38,389","8,681","2,604",216,43, F , FTT , FTT  CHENESO du 17 Janvier 2023 , 2022-2023 , 63 à 88 km/h ,,197,87,89,25,11,17,7,15,6,25,197,2,3,3,2,3,4, -   , -   , -   , -   , M , CT , AVA , 2017-2018 , 118 à 165 km/h ,,397,175,180,51,21,34,15,29,12,50,397,4,5,6,4,5,6,, -   , -   , -   , F , CT , ENAWO , 2016-2017 , 116 à 212 km/h ,,"3,099","1,284","1,320",375,156,249,109,215,85,368,"3,099",9,8,12,10,9,13,,,,
, MAMPIKONY ,"215,181",2,11,"19,518","3,131",997,151,30,3,13,"24,856","3,667","1,167",176,35,7,55,"79,457","24,928","7,478","1,130",226, F , FTT , FTT  CHENESO du 17 Janvier 2023 , 2022-2023 , 63 à 88 km/h ,,"1,118",491,505,144,60,95,42,76,30,131,"1,118",3,4,5,1,2,2, -   , -   , -   , -   , M , TTM , TTM DUMAKO (14 AU 16 F2vrier 2022) , 2021-2022 , 63 à 88 km/h ,,"1,309",575,592,168,70,112,49,89,35,153,"1,309",6,7,8,2,3,3,, -   , -   , -   , F , ZCIT , Forte pluie de 19 au 24 Janvier 2020 , 2019-2020 ,,,"8,899","3,687","3,792","1,077",449,715,314,572,227,982,"8,899",13,12,18,5,5,7,,,,
, MANDRITSARA ,"348,718", -   , -   , -   , -   , -   , -   , -   ,1,1,"2,453",245,78,19,4,5,16,"35,950","9,647","2,894",721,144, F , CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 , 63 à 88 km/h ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,3,3,4,1,1,1, -   , -   , -   , -   , M , FTT , ELIAKIM , 2017-2018 , 89 à 117 km/h ,,88,38,40,11,5,7,3,6,2,11,88,5,6,7,2,2,2,, -   , -   , -   , F , CT , AVA , 2017-2018 , 118 à 165 km/h ,,"3,444","1,427","1,467",417,174,277,122,233,92,399,"3,444",12,11,16,4,4,5,,,,
, PORT-BERGE(BORIZINY-VAOVAO) ,"261,745",4,4,"12,173","3,462","1,102",119,24,4,11,"17,731","3,882","1,236",134,27,9,65,"67,823","21,145","6,344",686,137, F , FTT , CHEDZA , 2014-2015 , 89 à 117 km/h ,,"1,236",543,559,159,66,105,46,86,34,148,"1,236",4,5,6,2,3,3, -   , -   , -   , -   , M , CT , ENAWO , 2016-2017 , 118 à 165 km/h ,,"1,386",609,626,178,74,118,52,97,38,166,"1,386",7,9,10,4,5,6,, -   , -   , -   , F , ZCIT , Inondation (due aux fortes pluies) , 2018-2019 ,,,"7,549","3,127","3,216",913,381,606,266,497,197,853,"7,549",16,15,22,9,8,12,,,,
 Total SOFIA ,7,"1,694,339",11,31,"119,128","16,595","5,282",877,175,22,68,"164,588","23,778","7,568","1,257",251,49,258,"405,466","108,886","32,666","5,425","1,085", F , FTT , FTT  CHENESO du 17 Janvier 2023 , 2022-2023 , 89 à 117 km/h , -   ,"5,924","2,604","2,678",761,317,505,222,414,164,709,"5,924",15,18,24,12,14,19,"14,786","13,193","4,763","15,234", M , CT , ENAWO , 2016-2017 , 118 à 165 km/h ,,"8,489","3,731","3,837","1,090",454,724,318,594,235,"1,019","8,489",27,34,40,22,27,31,"21,186","18,903","6,824","21,828", F , ZCIT , Forte pluie de 19 au 24 Janvier 2020 , 2019-2020 ,,,"38,872","16,104","16,561","4,704","1,960","3,123","1,372","2,574","1,019","4,414","38,872",63,58,85,50,46,67,"97,017","86,564","31,250","99,957"
 VATOVAVY , IFANADIANA ,"197,122",6,30,"42,291","8,415","2,679",540,108,8,41,"57,180","20,391","6,491","1,309",262,10,75,"95,932","47,958","14,387","2,901",580, F , CT , CT EMNATI (16 au 26 Février 2022) , 2021-2022 , 118 à 165 km/h ,,"3,029","1,310","1,369",421,214,257,94,229,142,211,"3,029",4,10,21,0,1,2, -   , -   , -   , -   , M , CT , AVA , 2017-2018 , 118 à 165 km/h ,,"7,341","3,174","3,317","1,019",519,622,227,555,344,512,"7,341",31,23,43,3,2,4,, -   , -   , -   , F , CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 , 166 à 212 km/h ,,"17,265","7,035","7,352","2,259","1,151","1,378",504,"1,230",762,"1,136","17,265",86,42,85,7,4,7,,,,
, MANANJARY ,"301,530",22,87,"141,457","42,192","13,469","3,608",722,25,112,"160,962","82,768","26,345","7,058","1,412",25,177,"230,004","160,707","48,212","12,916","2,583", F , CT , AVA , 2017-2018 , 89 à 117 km/h ,,"15,189","6,586","6,883","2,115","1,077","1,290",471,"1,261",782,"1,164","15,189",4,9,18,1,2,3, -   , -   , -   , -   , M , CT , CT EMNATI (16 au 26 Février 2022) , 2021-2022 , 118 à 165 km/h ,,"29,796","12,883","13,462","4,136","2,108","2,524",922,"2,466","1,529","2,278","29,796",27,20,37,5,4,7,, -   , -   , -   , F , CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 , 166 à 212 km/h ,,"57,855","23,576","24,636","7,569","3,857","4,619","1,687","4,513","2,798","4,168","57,855",74,36,73,14,7,14,,,,
, NOSY-VARIKA ,"287,409",11,74,"89,610","35,156","12,656","1,389",278,13,158,"181,148","98,698","31,416","3,448",690,13,198,"218,279","166,135","49,841","5,471","1,094", F , ZCIT , ZCIT 1  , 2014-2015 ,,,"12,656","6,189","6,467","1,987","1,012","1,213",443,"1,059",656,978,"12,656",6,13,26,0,1,2, -   , -   , -   , -   , M , CT , CT EMNATI (16 au 26 Février 2022) , 2021-2022 , 118 à 165 km/h ,,"35,531","15,362","16,053","4,932","2,513","3,010","1,100","2,628","1,629","2,427","35,531",39,29,54,3,2,5,, -   , -   , -   , F , CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 , 166 à 212 km/h ,,"59,809","24,372","25,469","7,825","3,987","4,775","1,744","4,169","2,585","3,851","59,809",109,53,107,9,4,9,,,,
 Total VATOVAVY ,3,"786,061",39,190,"273,358","85,763","28,803","6,323","1,265",46,310,"399,290","201,857","64,251","14,105","2,821",48,450,"544,215","374,801","112,440","24,684","4,937", F , CT , AVA , 2017-2018 , 89 à 117 km/h , -   ,"30,875","14,085","14,719","4,522","2,304","2,759","1,008","2,548","1,580","2,354","30,875",14,32,65,2,4,7,"78,730","71,440","17,496","80,617", M , CT , CT EMNATI (16 au 26 Février 2022) , 2021-2022 , 118 à 165 km/h ,,"72,669","31,419","32,832","10,087","5,140","6,156","2,249","5,649","3,502","5,217","72,669",96,71,134,11,8,15,"185,305","168,147","41,179","189,746", F , CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 , 166 à 212 km/h ,,"134,928","54,983","57,457","17,653","8,995","10,772","3,935","9,912","6,144","9,155","134,928",269,131,265,31,15,30, -   , -   , -   , -   
 Total général ,,"22,073,605",552,"2,646","6,597,700","1,156,842","361,501","143,074","28,615",667,"3,698","8,245,161","2,277,941","725,069","286,966","57,393",774,"5,216","9,391,254","4,145,778","1,243,733","492,242","98,448", F ,, TTM CHALANE (24 au 30 Déc 20) , 2020-2021 ,, -   ,"397,137","178,114","183,387","52,758","21,690","33,359","14,864","27,568","21,863","35,727","397,137", -   , -   , -   , -   , -   , -   ,,,,, M ,, FTT  CHENESO du 17 Janvier 2023 , 2022-2023 ,,,"782,004","357,246","367,823","105,817","43,504","66,909","29,813","55,294","214,609","48,870","782,004", -   , -   , -   ,347,255,483,, -   , -   , -   , F ,, ENAWO , 2016-2017 ,,,"1,423,221","612,795","630,939","181,512","74,624","114,771","51,139","94,847","75,218","122,916","1,423,221", -   , -   , -   , -   , -   , -   ,"2,926,555","2,619,312","680,000","3,132,534"
,,"22,073,605",552,"2,646","6,597,700","1,156,842","361,501","132,990","26,598",667,"3,698","8,245,161","2,277,941","725,069","270,387","54,077",774,"5,216","9,391,254","4,145,778","1,243,733","442,754","88,551",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!, -   ,"384,644","177,429","184,072","51,667","24,721","33,439","15,348","27,262","20,382","40,625","384,644",511,637,898,159,201,240,"827,082","749,287","188,180","885,282",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!, -   ,"753,410","355,939","369,130","101,854","50,038","66,763","31,530","55,909","41,509","82,987","753,410","1,281","1,159","1,551",299,329,410,"970,754","882,616","212,400","1,045,026",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!, -   ,"1,380,683","610,705","633,028","175,471","87,269","115,120","53,580","99,011","74,075","138,204","1,380,683","2,591","2,088","2,572",572,570,665,"2,926,555","2,619,312","680,000","3,132,534"
,,,,,,,,,,,,,,,,,,,,,,,,, FTT , CHEDZA , 2014-2015 ,,,,,,,,,,,,,,,,,,,,,,,,, CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 ,,,,,,,,,,,,,,,,,,,,,,,,, CT , ENAWO , 2016-2017 ,,,,,,,,,,,,,,,,,,,,,,,
